name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Rishad Hossain,,Right hand Bat,Bowler,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380200/380235.png"
Jaspal Singh,Malta,Right hand Bat,,Right arm Medium,,
Andre Russell,West Indies,Right hand Bat,Allrounder,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316615.png"
Santiago Rossi,Argentina,Right hand Bat,Bowler,Right arm Medium fast,,
Patrick Hatchman,Gibraltar,Right hand Bat,,Right arm Medium,,
Neeraj Tyagi,Czech Republic,Right hand Bat,,Right arm Medium,,
Rohail Nazir ,Pakistan,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322155.png"
Stefano di Bartolomeo,Italy,Right hand Bat,,Right arm Medium,,
John Kariko,Papua New Guinea,Left hand Bat,Bowler,,,
Ish Sodhi,New Zealand,Right hand Bat,Bowler,Legbreak,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319778.png"
Louis Bruce,Gibraltar,Right hand Bat,,Right arm Medium,,
Khushdil Shah,Pakistan,Left hand Bat,Middle order Batter,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322168.png"
Agustin Rivero,Argentina,Right hand Bat,,Right arm Medium,,
Zabiullah Zahid,Sweden,Right hand Bat,,Right arm Medium fast,,
Irfan Hafejee,Panama,Right hand Bat,,Right arm Medium,,
Reeza Hendricks,South Africa,Right hand Bat,Opening Batter,Right arm Offbreak,"Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322071.png"
Gede Priandana,Indonesia,Right hand Bat,,,,
Umair Sharif,Saudi Arabia,Right hand Bat,,,,
Bhavani Adapaka,Hungary,Right hand Bat,,Right arm Offbreak,,
Wellington Masakadza,Zimbabwe,Left hand Bat,Bowler,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321400/321492.png"
Rohan Rangarajan,Singapore,Right hand Bat,Batter,Right arm Offbreak,,
Safwan Barediya,Eswatini,Left hand Bat,,Right arm Medium,,
Ishtiaq Ahmad,Saudi Arabia,Right hand Bat,,Right arm Medium fast,,
Gulbadin Naib(c),Afghanistan,Right hand Bat,Batting Allrounder,Right arm Medium fast,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316661.png"
Khalid Ahmadi,Belgium,Right hand Bat,,Right arm Medium fast,,
Harmanjot Singh,Germany,Right hand Bat,,Right arm Medium,,
Asif Khan,United Arab Emirates,Right hand Bat,Batter,Right arm Offbreak,,
Khalid Shah,United Arab Emirates,Left hand Bat,Opening Batter,,,
Pedro Arrighi,Argentina,Right hand Bat,Bowler,Right arm Medium,,
Vishal Ahir,Panama,Right hand Bat,,Right arm Medium,,
Lungi Ngidi,South Africa,Right hand Bat,Bowler,Right arm Fast medium,"A tall, imposing 140kph-plus fast bowler, Lungi Ngidi is as comfortable opening the bowling as he is at the death, and has been a regular presence in South Africa's sides, if not quite a shoo-in. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322069.png"
Jigyasu Pant,Luxembourg,Right hand Bat,,Right arm Medium,,
Tim Seifert ,New Zealand,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321313.png"
Thomas Martin,Luxembourg,Right hand Bat,,Right arm Medium,,
Dylan Steyn,Czech Republic,Left hand Bat,,,,
Ahmed Hassan ,Switzerland,Left hand Bat,,,,
Jovan Reb,Serbia,Right hand Bat,Middle order Batter,Legbreak,,
Nikhil Advani,Gibraltar,Right hand Bat,,Right arm Offbreak,,
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Allrounder,Right arm Offbreak,"A stylish middle-order batter who also props up Sri Lanka's mediocre batting line-up with fighting knocks, de Silva is a treat to watch. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319859.png"
Zahoor Khan,United Arab Emirates,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320104.png"
Ibrahim Takahashi,Japan,Right hand Bat,,Right arm Offbreak,,
Kiplin Doriga ,Papua New Guinea,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321149.png"
Ben Duckett,England,Left hand Bat,Top order Batter,Right arm Offbreak,"Ben Duckett, an exciting but untamed talent, produced what promised to be a transformative season in 2016, culminating in a call up for England's winter tours of Bangladesh and India. Career-best performances in all three formats - including the sixth-highest first-class score for Northamptonshire, a one-day double-hundred for the Lions, and a starring role on NatWest Blast Finals Day - pushed him into contention even before the withdrawals of Eoin Morgan and Alex Hales from the trip to Bangladesh made his selection inevitable.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323115.png"
Vijay Unni,Malaysia,Right hand Bat,Bowler,Right arm Offbreak,,
Salvin Stanly,Cambodia,Right hand Bat,,Right arm Medium,,
Nazwan Ismail,Maldives,Right hand Bat,,Right arm Medium,,
Adil Butt,Eswatini,Right hand Bat,,Right arm Medium fast,,
Manan Ali,Saudi Arabia,Right hand Bat,,Right arm Offbreak,,
Ridwan Abdulkareem,Nigeria,Right hand Bat,,Right arm Offbreak,,
Usman Ghani,Afghanistan,Right hand Bat,Opening Batter,,"One of the most exciting new talents to emerge from Afghanistan's cricket programmes in recent years, intrepid opening batsman Usman Ghani was good enough to play one-day international cricket for Afghanistan well before his 18th birthday. Ghani was also good enough to race to a century in his fourth ODI, against Zimbabwe, still aged 17. He started 2014 as part of the Afghanistan Under-19 team that defeated Australia and Sri Lanka in the Under-19 World Cup, and ended it as a member of the squad for Afghanistan's first full World Cup campaign. He warmed up for the tournament with a match-winning hundred against an Auckland team that included Kyle Mills and Mitchell McClenaghan.Liam Brickhill","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316700/316708.png"
Chris Woakes,England,Right hand Bat,Allrounder,Right arm Fast medium,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316603.png"
Faisal Khan,Saudi Arabia,Right hand Bat,,Right arm Medium,,
Tanzeel Sheikh,Kenya,Right hand Bat,,Right arm Medium,,
Anantha Krishna,Singapore,Right hand Bat,,Legbreak Googly,,
Lahiru Samarakoon,Sri Lanka,Left hand Bat,Allrounder,Right arm Fast medium,,
Aryan Lakra,United Arab Emirates,Left hand Bat,Bowler,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354957.png"
Karabo Modise,Botswana,Left hand Bat,,Slow Left arm Orthodox,,
Syed Aziz ,Malaysia,Left hand Bat,Batting Allrounder,Right arm Medium,,
Iain Latin(c),Gibraltar,Right hand Bat,,Legbreak,,
Burhan Niaz,Belgium,Right hand Bat,,Right arm Medium fast,,
Pedro Baron(c),Argentina,Right hand Bat,,,,
Christopher Osborne,Croatia,Right hand Bat,,Right arm Medium,,
Peni Dakainivanua,Fiji,Right hand Bat,,Right arm Offbreak,,
Asa Tribe ,Jersey,Right hand Bat,Top order Batter,Right arm Offbreak,,
Shehzad Patel,Eswatini,,Wicketkeeper Batter,,,
Fazil Rahman,Malta,Right hand Bat,,Right arm Medium,,
Faizalmahmed Patel,Eswatini,Left hand Bat,,Left arm Medium fast,,
Lasith Croospulle,Sri Lanka,Right hand Bat,Opening Batter,Right arm Offbreak,,
Mahaj Midda ,Cambodia,Right hand Bat,,,,
Orchide Tuyisenge,Rwanda,Right hand Bat,,,,
Aman Maheshwari,Croatia,Right hand Bat,,Left arm Medium fast,,
Pedro Baron,Argentina,Right hand Bat,,,,
Ashton Turner,Australia,Right hand Bat,Middle order Batter,Right arm Offbreak,"A tall and powerful right-hander, Ashton Turner clears the rope with deft placement, is a brilliant runner between the wickets, and has made a habit of chasing unlikely totals as a middle-order specialist in the BBL. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321560.png"
Dilshan Madushanka,Sri Lanka,Right hand Bat,Bowler,Left arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348600.png"
Daniel Smith,Philippines,Right hand Bat,,Right arm Medium fast,,
Suhail Vayani,Malawi,Right hand Bat,,Right arm Offbreak,,
Ilyas Ataullah ,Turkey,Right hand Bat,,Right arm Offbreak,,
Heinrich Klaasen,South Africa,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322073.png"
Kenneth Waiswa(c),Uganda,Right hand Bat,Allrounder,Right arm Medium,,
Hernan Fennell(c),Argentina,Right hand Bat,,Right arm Medium,,
Ritik Tomar,Czech Republic,Right hand Bat,,Right arm Medium fast,,
Alain Toube ,Cameroon,Right hand Bat,Wicketkeeper Batter,,,
Nizakat Khan(c),Hong Kong,Right hand Bat,Allrounder,Legbreak,"Nizakat Khan scored 180 runs at the 2010 Under-19 World Cup Qualifiers, including two half-centuries. He also impressed with the ball, capturing ten wickets, which earned him a place in Hong Kong's squad for the main tournament.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321800/321895.png"
Hussain Saadhin,Maldives,Right hand Bat,,Right arm Medium fast,,
Ahmad Ramdoni ,Indonesia,Right hand Bat,,,,
Alejandro Ferguson,Argentina,Right hand Bat,,,,
Siteri Tabuisulu,Fiji,Right hand Bat,,Left arm Medium fast,,
Tanveer Sangha,Australia,Right hand Bat,Bowler,Legbreak,,
Richard Hatchman,Gibraltar,Right hand Bat,Middle order Batter,Right arm Medium,,
Lahiru Udara ,Sri Lanka,Right hand Bat,Wicketkeeper Batter,,,
Armaan Randhawa,Austria,,,,,
Peni Vuniwaqa,Fiji,Right hand Bat,,Right arm Medium,,
Brad Evans,Zimbabwe,Right hand Bat,Allrounder,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348596.png"
Akhere Isesele,Nigeria,Right hand Bat,,,,
Vinay Ravi,Norway,Right hand Bat,Bowler,Right arm Medium fast,,
Gurbhupinder Chohan,Philippines,Right hand Bat,,Right arm Medium,,
Tom Nightingale,Guernsey,Right hand Bat,,Right arm Offbreak,,
Avi Dixit,Singapore,Left hand Bat,Batter,Right arm Medium fast,,
Jason Behrendorff,Australia,Right hand Bat,Bowler,Left arm Fast medium,"A left-arm bowler with good pace and the ability to swing the ball, Jason Behrendorff has come to prominence for Australia in limited-overs cricket as a new ball specialist. He was born in Sydney and raised in Canberra but has made his career with Western Australia after there during the 2009 off-season. He made his first-class debut in 2011-12 but his breakthrough season was 2013-14, when he finished second only to Steve O'Keefe on the Sheffield Shield wicket tally with 40 victims at 22.70. That season earned him a call-up to the Australia A squad for their four-day matches against South Africa in the 2014 winter. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321589.png"
Adil Butt(c),Eswatini,Right hand Bat,,Right arm Medium fast,,
Lourenco Salomone,Mozambique,Right hand Bat,,Legbreak,,
Paul Manning,Cayman Islands,Right hand Bat,Batting Allrounder,Right arm Offbreak,,
Ivan Matic,Croatia,Right hand Bat,,Right arm Medium,,
Patrick Matautaava(c),Vanuatu,Right hand Bat,,Right arm Medium,,
Isaac Damarell ,Guernsey,Left hand Bat,,,,
Jai Sinh,Switzerland,Right hand Bat,,Right arm Medium fast,,
Clive Madande ,Zimbabwe,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348595.png"
Yusuf Ebrahim,Panama,Right hand Bat,,Right arm Medium,,
Haider Butt,Bahrain,Right hand Bat,Middle order Batter,Right arm Offbreak,,
Tholal Mohamed Raya,Maldives,Right hand Bat,,,,
Oshane Thomas,West Indies,Left hand Bat,Bowler,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322032.png"
Simo Ivetic(c),Serbia,Right hand Bat,,Right arm Medium fast,,
Peter Gallagher,Finland,Right hand Bat,,Right arm Offbreak,,
Mario Manjate,Mozambique,Right hand Bat,,,,
Yousuf Ali,Qatar,Left hand Bat,Bowler,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380400/380451.png"
Ben Manenti,Italy,Right hand Bat,Bowler,Right arm Offbreak,,
Muhammad Amin,Eswatini,Right hand Bat,Opening Batter,Right arm Medium fast,,
Ahmed Baladraf,Saudi Arabia,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,,
Cakacaka Veretaki,Fiji,Right hand Bat,,,,
Obed Yosef,Vanuatu,,,Slow Left arm Orthodox,,
Rohit Paudel(c),Nepal,Right hand Bat,Batting Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330466.png"
Roshan Vishwanath,Luxembourg,Right hand Bat,Middle order Batter,Right arm Medium fast,,
David Miller,South Africa,Left hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316655.png"
Ben Lister,New Zealand,Right hand Bat,Bowler,Left arm Fast medium,,
Od Lutbayar,Mongolia,Right hand Bat,,Right arm Medium,,
Devon Conway ,New Zealand,Left hand Bat,Wicketkeeper Batter,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321214.png"
Raymond Coker,Sierra Leone,Left hand Bat,,Legbreak,,
Jonty Jenner,Jersey,Right hand Bat,,Right arm Offbreak,,
Crishan Kalugamage,Italy,Right hand Bat,,Right arm Offbreak,,
Jacob Duffy,New Zealand,Right hand Bat,Bowler,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329747.png"
Bruno Toube,Cameroon,Right hand Bat,,Right arm Medium fast,,
Wessly Madhevere,Zimbabwe,Right hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/326500/326552.png"
Pankaj Malav,Luxembourg,Right hand Bat,,Right arm Medium fast,,
Iain Latin,Gibraltar,Right hand Bat,,Legbreak,,
Abdul Waheed,Saudi Arabia,Right hand Bat,,Legbreak,,
Vanraaj Padhaal,Finland,Right hand Bat,,Right arm Offbreak,,
Mike Choamba,Malawi,Right hand Bat,,Right arm Offbreak,,
Nicholas JohnsWickberg,Serbia,Right hand Bat,,Right arm Medium fast,,
Shivam Dube,India,Left hand Bat,Allrounder,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322703.png"
Peni Vuniwaqa(c),Fiji,Right hand Bat,,Right arm Medium,,
Francisco Couana,Mozambique,Right hand Bat,,Right arm Medium,,
Harrison Carlyon,Jersey,Right hand Bat,,Right arm Offbreak,,
Mubeen Tariq,Portugal,Right hand Bat,,Right arm Medium,,
Sheikh Rasik,Hungary,Right hand Bat,,Right arm Medium,,
Patrick Matautaava,Vanuatu,Right hand Bat,,Right arm Medium,,
Luke Le Tissier,Guernsey,Right hand Bat,,Right arm Offbreak,,
Jarryd Allan ,Vanuatu,Right hand Bat,,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/343300/343306.png"
Vikram Vijh(c),Luxembourg,Left hand Bat,,Right arm Medium fast,,
Darren Roache,Samoa,Left hand Bat,,Right arm Offbreak,,
Apolinaire Stephen,Vanuatu,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/379000/379018.png"
Ronald Tari,Vanuatu,Right hand Bat,,Right arm Medium,,
Dario Macome,Mozambique,Right hand Bat,,Right arm Medium fast,,
Agostinho Navicha,Mozambique,Right hand Bat,,Legbreak,,
Noa Acawei,Fiji,Right hand Bat,,,,
Aneesh Kumar,Switzerland,Left hand Bat,,Slow Left arm Orthodox,,
